,word,count
1473,feed,1
1474,major,1
1475,graduate,1
1476,feel,4
1477,radical,5
1478,number,4
1479,feet,2
1480,instances,1
1481,sequester,1
1482,revolution,3
1483,done,11
1484,fees,3
1485,wages,3
1486,causing,1
1487,carter,1
1488,story,1
1490,heads,1
1491,leverage,1
1492,leading,5
1493,threatening,2
1494,least,2
1495,jeb,6
1496,regulation,1
1497,wonderful,1
1498,saint,2
1499,185,1
1500,hundred,1
1501,finances,1
1502,store,1
1503,shifted,1
1504,imperfect,1
1505,option,1
1506,relationship,2
1507,behind,5
1508,relieved,2
1509,teacher,1
1510,part,6
1511,focusing,1
1512,believe,30
1513,1917,1
1514,apprentice,1
1515,kind,9
1516,grew,1
1517,aaa,2
1518,iranian,5
1519,gotten,2
1520,outrageous,1
1521,illegals,3
1522,marriage,9
1523,supposed,5
1524,treated,2
1525,outta,1
1526,nominee,15
1527,strengthen,1
1528,vulnerable,1
1529,sell,1
1530,built,2
1531,tough,1
1532,scotland,1
1533,officers,1
1534,also,12
1535,without,7
1536,build,3
1537,caliphate,1
1538,cream,1
1539,donor,3
1540,added,1
1541,quote,9
1542,english,1
1543,reach,3
1544,architects,2
1545,hired,1
1546,plan,6
1547,71,3
1548,nothing,8
1549,extremely,1
1550,achievement,1
1551,stands,2
1552,understands,1
1553,dealers,2
1554,loopholes,1
1555,clear,9
1556,sometimes,1
1557,cover,1
1558,traditional,1
1559,lying,6
1560,joining,1
1561,sector,4
1562,particularly,2
1563,defended,1
1564,uniform,1
1565,fine,3
1566,find,7
1567,costing,1
1568,dividing,1
1569,duncan,1
1570,justice,2
1571,nervous,1
1572,unhappy,1
1573,destabilize,2
1574,failed,1
1575,idiots,1
1576,convoluted,1
1577,pretty,3
1578,8,2
1579,cuba,2
1580,obama,24
1581,loved,1
1582,begins,2
1583,policing,1
1584,hit,1
1585,gains,2
1586,invoke,1
1587,secular,1
1588,brink,1
1589,courage,1
1590,valuable,1
1591,reporters,1
1592,critically,1
1593,showed,1
1594,progressive,3
1595,common,8
1596,double,2
1597,x,1
1598,creates,1
1599,set,2
1600,intelligence,3
1601,sex,3
1602,culture,2
1603,see,14
1604,individual,1
1605,11th,3
1606,declined,2
1607,knees,1
1608,mullahs,1
1609,spirits,1
1610,please,3
1611,won,9
1612,vladimir,2
1613,probably,5
1614,conditions,1
1615,knowing,2
1616,rosie,2
1617,recently,6
1618,creating,1
1619,dividends,1
1620,aircraft,1
1621,ranked,2
1622,opposition,3
1623,understanding,1
1624,legislature,2
1625,c,2
1626,last,18
1627,oversee,1
1628,powers,1
1629,barely,2
1630,foreign,9
1631,became,7
1632,forgotten,1
1633,poverty,3
1634,whole,3
1635,baltimore,1
1636,):,4
1637,point,5
1638,simple,3
1639,acted,2
1640,community,2
1641,simply,2
1642,"),",1
1643,).,1
1644,throughout,2
1645,[,1
1646,described,1
1647,raise,8
1648,create,5
1649,political,6
1650,due,3
1651,strategy,2
1652,hitting,2
1653,ran,2
1654,ph,8
1655,breyers,1
1656,gay,4
1657,fire,1
1658,else,4
1659,fund,5
1660,whatever,1
1661,races,1
1662,understand,8
1663,disruptive,1
1664,temperament,1
1665,wedding,3
1666,slobs,1
1667,stolen,1
1668,conception,2
1669,look,18
1670,straight,1
1671,bill,3
1672,elections,3
1673,governor,80
1674,replaced,1
1675,ought,7
1676,chant,1
1677,fun,1
1678,owed,1
1679,voters,5
1680,violently,1
1681,rip,1
1682,triple,2
1683,ready,5
1684,arenas,1
1685,chase,1
1686,anymore,3
1687,radicalization,1
1688,read,1
1689,virtually,1
1690,9,1
1691,daughters,2
1692,higher,3
1693,development,2
1694,used,6
1695,flooded,2
1696,comprehensive,2
1697,negotiate,2
1698,moment,2
1699,000,10
1700,medicaid,5
1701,purpose,5
1702,robust,1
1703,recent,2
1704,lower,1
1705,older,1
1706,poland,2
1707,anybody,4
1708,obviously,5
1709,person,15
1710,kelly,49
1711,entry,1
1712,spend,2
1713,languish,1
1714,grievance,1
1715,openly,1
1716,questions,20
1717,using,1
1718,elect,1
1719,praying,1
1720,wage,3
1721,questioner,1
1723,majority,4
1724,throats,1
1725,barack,5
1726,source,1
